population,downstream_accuracy,logloss,selected_indices,source
Male,0.768642447418738,0.5182641561735465,"[1, 39, 16, 37, 36]",our_method
Female,0.9153846153846154,0.3251480476828288,"[1, 39, 16, 37, 36]",our_method
Male,0.7418738049713193,0.4930367698480451,"[41, 30, 4, 3, 36]",baseline_lasso
Female,0.8846153846153846,0.6097162537099844,"[41, 30, 4, 3, 36]",baseline_lasso
Male,0.751434034416826,0.5288669233160596,"[8, 9, 3, 30, 24]",baseline_dro_lasso
Female,0.8846153846153846,0.46495516875675463,"[8, 9, 3, 30, 24]",baseline_dro_lasso
Male,0.734225621414914,0.5782558274332729,"[31, 10, 9, 25, 24]",baseline_xgb
Female,0.8846153846153846,0.3520429926875532,"[31, 10, 9, 25, 24]",baseline_xgb
Male,0.751434034416826,0.5451686548838789,"[32, 24, 3, 9, 25]",baseline_dro_xgb
Female,0.8846153846153846,0.49335778856952417,"[32, 24, 3, 9, 25]",baseline_dro_xgb
