population,downstream_accuracy,logloss,selected_indices,source
Male,0.7858508604206501,0.46242964255278424,"[2, 1, 37, 39, 18, 24, 30, 36, 16, 40]",our_method
Female,0.9153846153846154,0.30718543396072817,"[2, 1, 37, 39, 18, 24, 30, 36, 16, 40]",our_method
Male,0.8107074569789675,0.7082084375158388,"[30, 3, 24, 0, 41, 4, 16, 36, 1, 2]",baseline_lasso
Female,0.926923076923077,0.318948269082387,"[30, 3, 24, 0, 41, 4, 16, 36, 1, 2]",baseline_lasso
Male,0.7705544933078394,0.6712377448812459,"[0, 6, 4, 8, 30, 24, 1, 41, 36, 2]",baseline_dro_lasso
Female,0.926923076923077,0.5467462865341172,"[0, 6, 4, 8, 30, 24, 1, 41, 36, 2]",baseline_dro_lasso
Male,0.7954110898661568,0.4410333873712232,"[41, 30, 9, 25, 3, 24, 31, 1, 2, 16]",baseline_xgb
Female,0.9192307692307692,0.3173431913948638,"[41, 30, 9, 25, 3, 24, 31, 1, 2, 16]",baseline_xgb
Male,0.7782026768642447,0.4492447587635887,"[30, 31, 25, 32, 3, 24, 41, 1, 2, 16]",baseline_dro_xgb
Female,0.9384615384615385,0.30799072126922666,"[30, 31, 25, 32, 3, 24, 41, 1, 2, 16]",baseline_dro_xgb
