population,downstream_accuracy,logloss,selected_indices,source
Male,0.7762906309751434,0.5403248231701928,"[30, 37, 39, 36, 24]",our_method
Female,0.8807692307692307,0.3294947877949094,"[30, 37, 39, 36, 24]",our_method
Male,0.7418738049713193,0.4930367698480451,"[41, 30, 4, 3, 36]",baseline_lasso
Female,0.8846153846153846,0.6098803678623135,"[41, 30, 4, 3, 36]",baseline_lasso
Male,0.751434034416826,0.5288669233160594,"[8, 9, 3, 30, 24]",baseline_dro_lasso
Female,0.8846153846153846,0.4649551687567546,"[8, 9, 3, 30, 24]",baseline_dro_lasso
Male,0.734225621414914,0.5782558274332731,"[31, 10, 9, 25, 24]",baseline_xgb
Female,0.8846153846153846,0.352042992687553,"[31, 10, 9, 25, 24]",baseline_xgb
Male,0.751434034416826,0.5451686548838787,"[32, 24, 3, 9, 25]",baseline_dro_xgb
Female,0.8846153846153846,0.49335778856952406,"[32, 24, 3, 9, 25]",baseline_dro_xgb
